00:03:05.480,00:03:36.890,top-center
00:08:45.500,00:08:56.240,top-left
00:09:11.440,00:09:20.510,top-left
00:09:37.430,00:09:51.950,top-left
00:10:56.870,00:14:43.720,top-center
00:15:04.600,00:15:43.350,top-center
00:16:50.090,00:17:04.580,top-right
00:17:22.930,00:17:54.810,top-right
00:18:46.010,00:19:10.890,top-center

